Symbol,Date,Close
L,2/01/2018,49.89
L,3/01/2018,50.47
L,4/01/2018,50.72
L,5/01/2018,50.62
L,8/01/2018,50.58
L,9/01/2018,51.13
L,10/01/2018,51.21
L,11/01/2018,51.51
L,12/01/2018,52.78
L,16/01/2018,52.19
L,17/01/2018,52.35
L,18/01/2018,52.52
L,19/01/2018,52.51
L,22/01/2018,52.8
L,23/01/2018,52.9
L,24/01/2018,53.04
L,25/01/2018,53.15
L,26/01/2018,53.46
L,29/01/2018,53.11
L,30/01/2018,51.99
L,31/01/2018,51.65
L,1/02/2018,51.59
L,2/02/2018,50.82
L,5/02/2018,48.19
L,6/02/2018,47.81
L,7/02/2018,47.86
L,8/02/2018,46.05
L,9/02/2018,46.73
L,12/02/2018,47.5
L,13/02/2018,48.09
L,14/02/2018,48.87
L,15/02/2018,49.89
L,16/02/2018,50.08
L,20/02/2018,49.89
L,21/02/2018,49.75
L,22/02/2018,49.6
L,23/02/2018,50.34
L,26/02/2018,50.73
L,27/02/2018,50.18
L,28/02/2018,49.33
L,1/03/2018,48.65
L,2/03/2018,48.82
L,5/03/2018,50.37
L,6/03/2018,50.88
L,7/03/2018,50.94
L,8/03/2018,51.26
L,9/03/2018,51.72
L,12/03/2018,51.51
L,13/03/2018,51.24
L,14/03/2018,50.96
L,15/03/2018,50.94
L,16/03/2018,51.16
L,19/03/2018,50.99
L,20/03/2018,51.41
L,21/03/2018,51.59
L,22/03/2018,50.24
L,23/03/2018,49.07
L,26/03/2018,50.12
L,27/03/2018,49.1
L,28/03/2018,49.44
L,29/03/2018,49.73
L,2/04/2018,48.65
L,3/04/2018,49.47
L,4/04/2018,49.93
L,5/04/2018,50.51
L,6/04/2018,49.38
L,9/04/2018,49.63
L,10/04/2018,50.43
L,11/04/2018,50.08
L,12/04/2018,50.54
L,13/04/2018,50.43
L,16/04/2018,51.02
L,17/04/2018,51
L,18/04/2018,51.02
L,19/04/2018,51.52
L,20/04/2018,51.57
L,23/04/2018,51.62
L,24/04/2018,51.28
L,25/04/2018,51.54
L,26/04/2018,51.7
L,27/04/2018,51.75
L,30/04/2018,52.46
L,1/05/2018,52.44
L,2/05/2018,51.09
L,3/05/2018,50.44
L,4/05/2018,50.97
L,7/05/2018,51.2
L,8/05/2018,51.23
L,9/05/2018,51.61
L,10/05/2018,51.61
L,11/05/2018,51.69
L,14/05/2018,51.26
L,15/05/2018,51.34
L,16/05/2018,51.3
L,17/05/2018,51.45
L,18/05/2018,51.31
L,21/05/2018,51.42
L,22/05/2018,51.29
L,23/05/2018,50.7
L,24/05/2018,50.14
L,25/05/2018,49.73
L,29/05/2018,47.99
L,30/05/2018,48.78
L,31/05/2018,48.87
L,1/06/2018,49.18
L,4/06/2018,49.64
L,5/06/2018,49.62
L,6/06/2018,49.72
L,7/06/2018,50.13
L,8/06/2018,50.42
L,11/06/2018,50.03
L,12/06/2018,49.78
L,13/06/2018,49.82
L,14/06/2018,49.61
L,15/06/2018,49.89
L,18/06/2018,49.93
L,19/06/2018,49.73
L,20/06/2018,49.19
L,21/06/2018,48.57
L,22/06/2018,48.77
L,25/06/2018,48.86
L,26/06/2018,48.64
L,27/06/2018,48.07
L,28/06/2018,48.29
L,29/06/2018,48.28
L,2/07/2018,48.29
L,3/07/2018,48.3
L,5/07/2018,48.36
L,6/07/2018,48.9
L,9/07/2018,50.06
L,10/07/2018,49.91
L,11/07/2018,49.53
L,12/07/2018,49.36
L,13/07/2018,49.49
L,16/07/2018,49.81
L,17/07/2018,49.71
L,18/07/2018,50.18
L,19/07/2018,49.39
L,20/07/2018,49.62
L,23/07/2018,49.89
L,24/07/2018,50.04
L,25/07/2018,49.88
L,26/07/2018,50.13
L,27/07/2018,49.77
L,30/07/2018,49.82
L,31/07/2018,50.78
L,1/08/2018,51.59
L,2/08/2018,50.97
L,3/08/2018,51.14
L,6/08/2018,50.95
L,7/08/2018,50.84
L,8/08/2018,50.73
L,9/08/2018,50.33
L,10/08/2018,50.11
L,13/08/2018,49.72
L,14/08/2018,49.95
L,15/08/2018,49.71
L,16/08/2018,50.15
L,17/08/2018,50.16
L,20/08/2018,50.05
L,21/08/2018,50.11
L,22/08/2018,49.75
L,23/08/2018,49.42
L,24/08/2018,49.83
L,27/08/2018,50.21
L,28/08/2018,50.27
L,29/08/2018,50.46
L,30/08/2018,50.21
L,31/08/2018,50.31
L,4/09/2018,50.27
L,5/09/2018,50.27
L,6/09/2018,49.89
L,7/09/2018,49.66
L,10/09/2018,49.96
L,11/09/2018,50.11
L,12/09/2018,49.87
L,13/09/2018,50.37
L,14/09/2018,50.98
L,17/09/2018,50.76
L,18/09/2018,51.04
L,19/09/2018,51.8
L,20/09/2018,52.16
L,21/09/2018,51.76
L,24/09/2018,51.03
L,25/09/2018,50.74
L,26/09/2018,49.97
L,27/09/2018,49.94
L,28/09/2018,50.23
L,1/10/2018,50.25
L,2/10/2018,50.1
L,3/10/2018,50.15
L,4/10/2018,50.35
L,5/10/2018,49.93
L,8/10/2018,50.88
L,9/10/2018,50.72
L,10/10/2018,49.21
L,11/10/2018,47.24
L,12/10/2018,46.8
L,15/10/2018,46.84
L,16/10/2018,47.06
L,17/10/2018,47.32
L,18/10/2018,46.75
L,19/10/2018,47
L,22/10/2018,46.57
L,23/10/2018,46.18
L,24/10/2018,44.83
L,25/10/2018,45.75
L,26/10/2018,45.2
L,29/10/2018,45.3
L,30/10/2018,46.12
L,31/10/2018,46.56
L,1/11/2018,47.16
L,2/11/2018,46.29
L,5/11/2018,48.8
L,6/11/2018,49.51
L,7/11/2018,49.74
L,8/11/2018,49.44
L,9/11/2018,49.59
L,12/11/2018,48.77
L,13/11/2018,48.65
L,14/11/2018,47.49
L,15/11/2018,48.15
L,16/11/2018,48.5
L,19/11/2018,48.45
L,20/11/2018,47.43
L,21/11/2018,47.3
L,23/11/2018,46.97
L,26/11/2018,48.06
L,27/11/2018,47.55
L,28/11/2018,48.73
L,29/11/2018,47.98
L,30/11/2018,48.06
L,3/12/2018,48.5
L,4/12/2018,46.97
L,6/12/2018,46.92
L,7/12/2018,45.78
L,10/12/2018,45.14
L,11/12/2018,44.86
L,12/12/2018,45.09
L,13/12/2018,45.51
L,14/12/2018,45.07
L,17/12/2018,45.01
L,18/12/2018,45.06
L,19/12/2018,44.88
L,20/12/2018,44.65
L,21/12/2018,43.87
L,24/12/2018,42.54
L,26/12/2018,44.46
L,27/12/2018,44.97
L,28/12/2018,44.91
L,31/12/2018,45.52
L,2/01/2019,45.08
L,3/01/2019,44.52
L,4/01/2019,45.65
