Symbol,Date,Close
OTEX,2/01/2018,34.81
OTEX,3/01/2018,34.38
OTEX,4/01/2018,34.35
OTEX,5/01/2018,34.31
OTEX,8/01/2018,33.97
OTEX,9/01/2018,33.83
OTEX,10/01/2018,33.5
OTEX,11/01/2018,33.79
OTEX,12/01/2018,33.81
OTEX,16/01/2018,33.6
OTEX,17/01/2018,33.7
OTEX,18/01/2018,33.7
OTEX,19/01/2018,33.66
OTEX,22/01/2018,33.76
OTEX,23/01/2018,34.08
OTEX,24/01/2018,34.35
OTEX,25/01/2018,33.88
OTEX,26/01/2018,34.21
OTEX,29/01/2018,34.17
OTEX,30/01/2018,34.11
OTEX,31/01/2018,34.25
OTEX,1/02/2018,38.6
OTEX,2/02/2018,36.5
OTEX,5/02/2018,35.87
OTEX,6/02/2018,35.55
OTEX,7/02/2018,35.02
OTEX,8/02/2018,34.31
OTEX,9/02/2018,34.43
OTEX,12/02/2018,34.7
OTEX,13/02/2018,34.7
OTEX,14/02/2018,35.48
OTEX,15/02/2018,35.35
OTEX,16/02/2018,35.11
OTEX,20/02/2018,34.97
OTEX,21/02/2018,34.69
OTEX,22/02/2018,34.55
OTEX,23/02/2018,35.41
OTEX,26/02/2018,35.72
OTEX,27/02/2018,35.5
OTEX,28/02/2018,35.08
OTEX,1/03/2018,34.68
OTEX,2/03/2018,34.84
OTEX,5/03/2018,34.98
OTEX,6/03/2018,35.15
OTEX,7/03/2018,35.49
OTEX,8/03/2018,36.08
OTEX,9/03/2018,36.22
OTEX,12/03/2018,36.39
OTEX,13/03/2018,36.24
OTEX,14/03/2018,36.46
OTEX,15/03/2018,36.24
OTEX,16/03/2018,36.31
OTEX,19/03/2018,35.62
OTEX,20/03/2018,35.44
OTEX,21/03/2018,35.73
OTEX,22/03/2018,34.71
OTEX,23/03/2018,34.24
OTEX,26/03/2018,34.64
OTEX,27/03/2018,34.06
OTEX,28/03/2018,34.04
OTEX,29/03/2018,34.8
OTEX,2/04/2018,33.96
OTEX,3/04/2018,34.34
OTEX,4/04/2018,34.45
OTEX,5/04/2018,34.36
OTEX,6/04/2018,34.16
OTEX,9/04/2018,34.54
OTEX,10/04/2018,34.64
OTEX,11/04/2018,34.19
OTEX,12/04/2018,34.45
OTEX,13/04/2018,34.18
OTEX,16/04/2018,34.55
OTEX,17/04/2018,35.86
OTEX,18/04/2018,35.79
OTEX,19/04/2018,35.42
OTEX,20/04/2018,35.3
OTEX,23/04/2018,35.19
OTEX,24/04/2018,34.93
OTEX,25/04/2018,35.04
OTEX,26/04/2018,35.52
OTEX,27/04/2018,35.53
OTEX,30/04/2018,35.33
OTEX,1/05/2018,35.83
OTEX,2/05/2018,36.11
OTEX,3/05/2018,35.93
OTEX,4/05/2018,36.18
OTEX,7/05/2018,36.57
OTEX,8/05/2018,36.37
OTEX,9/05/2018,36.59
OTEX,10/05/2018,34.71
OTEX,11/05/2018,34.84
OTEX,14/05/2018,34.64
OTEX,15/05/2018,34.05
OTEX,16/05/2018,34.13
OTEX,17/05/2018,33.99
OTEX,18/05/2018,34
OTEX,21/05/2018,34.09
OTEX,22/05/2018,34.19
OTEX,23/05/2018,34.43
OTEX,24/05/2018,34.65
OTEX,25/05/2018,34.73
OTEX,29/05/2018,34.23
OTEX,30/05/2018,34.8
OTEX,31/05/2018,34.87
OTEX,1/06/2018,35.31
OTEX,4/06/2018,35.32
OTEX,5/06/2018,35.52
OTEX,6/06/2018,35.66
OTEX,7/06/2018,35.41
OTEX,8/06/2018,35.67
OTEX,11/06/2018,35.83
OTEX,12/06/2018,36.13
OTEX,13/06/2018,36.32
OTEX,14/06/2018,35.97
OTEX,15/06/2018,35.92
OTEX,18/06/2018,35.66
OTEX,19/06/2018,35.47
OTEX,20/06/2018,35.96
OTEX,21/06/2018,35.72
OTEX,22/06/2018,35.78
